Film_title_as_string,Film_title,Release_date_USA
The Power of the Dog,The_Power_of_the_Dog_(film),4-Sep-2021
West Side Story,West_Side_Story_(2021_film),29-Nov-2021
Belfast,Belfast_(film),2-Sep-2021
King Richard,King_Richard_(film),2-Sep-2021
Dune,Dune_(2021_film),7-Oct-2021
Licorice Pizza,Licorice_Pizza,26-Nov-2021
CODA,CODA_(2021_film),27-Jun-2021
"Tick, Tick... Boom!",Tick%2C_Tick..._Boom!_(film),10-Nov-2021
Don't Look Up,Don't_Look_Up,5-Dec-2021
Being the Ricardos,Being_the_Ricardos,2-Dec-2021
